"Id","Version","ParsedVersion","TargetFramework","PrevTFM","ChangedTFM"
"Microsoft.AspNetCore.Razor.Runtime","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Razor.Runtime","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Razor.OmniSharpPlugin.StrongNamed","3.1.2","3000000010000000200000000",".NETStandard2.0","","true"
"Microsoft.AspNetCore.Razor.OmniSharpPlugin","3.1.2","3000000010000000200000000",".NETFramework4.7.2","","true"
"Microsoft.AspNetCore.Razor.LanguageServer.Common","3.1.2","3000000010000000200000000",".NETStandard2.0","","true"
"Microsoft.AspNetCore.Razor.Language","2.0.0","2000000000000000000000000",".NETFramework4.6","","true"
"Microsoft.AspNetCore.Razor.Language","3.0.0","3000000000000000000000000",".NETStandard2.0",".NETFramework4.6","true"
"Microsoft.AspNetCore.Razor.Design","2.1.0","2000000010000000000000000",".NETStandard2.0","","true"
"Microsoft.AspNetCore.Razor","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Razor","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Proxy","0.1.0","10000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Owin","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Owin","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Owin","3.0.0","3000000000000000000000000",".NETCoreApp3.0",".NETStandard2.0","true"
"Microsoft.AspNetCore.Owin","3.1.2","3000000010000000200000000",".NETCoreApp3.1",".NETCoreApp3.0","true"
"Microsoft.AspNetCore.Owin","5.0.0","5000000000000000000000000",".NETCoreApp5.0",".NETCoreApp3.1","true"
"Microsoft.AspNetCore.OData.Versioning.ApiExplorer","3.0.0","3000000000000000000000000",".NETStandard2.0","","true"
"Microsoft.AspNetCore.OData.Versioning.ApiExplorer","5.0.0","5000000000000000000000000",".NETCoreApp3.1",".NETStandard2.0","true"
"Microsoft.AspNetCore.OData.Versioning","3.0.0","3000000000000000000000000",".NETStandard2.0","","true"
"Microsoft.AspNetCore.OData.Versioning","5.0.0","5000000000000000000000000",".NETCoreApp3.1",".NETStandard2.0","true"
"Microsoft.AspNetCore.OData.Radzen","1.0.0","1000000000000000000000000",".NETCoreApp1.0","","true"
"Microsoft.AspNetCore.OData","7.0.0","7000000000000000000000000",".NETStandard2.0","","true"
"Microsoft.AspNetCore.NodeServices","1.1.0","1000000010000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.NodeServices","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.NodeServices","3.0.0","3000000000000000000000000",".NETCoreApp3.0",".NETStandard2.0","true"
"Microsoft.AspNetCore.NodeServices","3.1.2","3000000010000000200000000",".NETCoreApp3.1",".NETCoreApp3.0","true"
"Microsoft.AspNetCore.MvcFactory","1.0.4","1000000000000000400000000",".NETStandard1.6.1","","true"
"Microsoft.AspNetCore.MvcFactory","1.0.4.23","1000000000000000400000023",".NETStandard1.6",".NETStandard1.6.1","true"
"Microsoft.AspNetCore.Mvc.WebApiCompatShim","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Mvc.WebApiCompatShim","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Mvc.ViewFeatures","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Mvc.ViewFeatures","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
